SessionName,Subject,Path,Strain,GeneticLine,Behavior,numCells,brainRegions,Project
fsub1_011222_sess16,fsub1,fsub1\fsub1_011222_sess16,c57b1/6,wild type,tmaze,121,VISp SUBsp DG,SUBProject
fsub1_121222_sess18,fsub1,fsub1\fsub1_121222_sess18,c57b1/6,wild type,tmaze,137,disSUBsp disSUBsr disSUBm DG VISp,SUBProject
